"configuration","problem","model","data_file","status","time","nClauseVariables","error","bimanderTotalOffset","bimanderTotalN","bimanderCount","paths","method","flatBoolConstraints","nVariables","flatBoolVars","evaluatedReifiedConstraints","run","bimanderTotalM","solveTime","bimanderTotalAbsoluteBalance","flatTime","nSolutions","processFlatZincTime","nClauses"
"mzn-sat-glucose-direct-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=18;m=18;holes={}","UNKNOWN","1201.0357247372158","228162","","0","0","0","0","satisfy","75121","11144","10508","28479","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1190.2251","0","9.89731","0","0.2384","79392"
"mzn-sat-lingeling-direct-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=16;m=16;holes={}","UNKNOWN","1200.8055446879007","142159","","0","0","0","0","satisfy","46525","7929","7485","20096","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1193.5238","0","6.59379","0","0.1498","49716"
"mzn-sat-lingeling-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=14;m=14;holes={}","SATISFIED","63.00131958699785","1665164","","0","0","0","0","satisfy","600562","40057","39914","12556","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","28.6165","0","29.9256","2","1.7444","595504"
"mzn-sat-lingeling-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=12;m=12;holes={}","SATISFIED","25.72096498007886","860484","","0","0","0","0","satisfy","312670","21837","21758","7974","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","7.572","0","15.7625","2","0.8735","308964"
"mzn-sat-clasp-direct+order-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=20;m=20;holes={}","UNKNOWN","1201.0353316860273","287052","","0","0","0","0","satisfy","100373","15407","15373","38489","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1185.248","0","14.8761","","0.2972","100121"
"mzn-sat-glucose-order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=14;m=14;holes={}","UNKNOWN","1201.1752496110275","","","","","","0","satisfy","608181","","49426","58787","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","","","","31.7897","","",""
"mzn-sat-glucose-direct-direct","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=14;m=14;holes={}","SATISFIED","714.5626465750393","2103313","","0","0","0","0","satisfy","486657","65015","39062","12556","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","690.6242","0","20.0119","2","1.8609","757481"
"mzn-sat-lingeling-binary-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=18;m=18;holes={}","UNKNOWN","1201.0374689090531","620670","","0","0","0","0","satisfy","98596","10126","13178","2568","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1189.1964","0","10.9278","","0.3378","91441"
"mzn-sat-glucose-order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=08;m=08;holes={}","SATISFIED","5.0047152519691736","271995","","0","0","0","0","satisfy","54879","26240","5968","9755","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1.0939","0","3.27896","2","0.3293","94380"
"mzn-sat-lingeling-direct+order-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=22;m=22;holes={}","UNKNOWN","1201.0472766088787","359886","","0","0","0","0","satisfy","121779","18799","18721","50571","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1179.9089","0","20.2161","","0.3717","121563"
